id,comunidad,parroquia,parroquia_id,municipio,municipio_id
09010122815,BELLA VISTA,San Juan de los Cayos,1,Acosta,1
09010122816,BOCA DE MANGLE BRISAS DEL MAR,San Juan de los Cayos,1,Acosta,1
09010122817,BOCA DE MANGLE GUAYEBO,San Juan de los Cayos,1,Acosta,1
09010122818,BOCA DE MANGLE SECTOR EL CAÑO,San Juan de los Cayos,1,Acosta,1
09010122819,BOCA DEL TOCUYO,San Juan de los Cayos,1,Acosta,1
09010122820,BOCA DEL TOCUYO RIO BRAVO,San Juan de los Cayos,1,Acosta,1
09010122821,BRISAS DEL MAR,San Juan de los Cayos,1,Acosta,1
09010122822,EL CAÑO,San Juan de los Cayos,1,Acosta,1
09010122823,EL CEDRON,San Juan de los Cayos,1,Acosta,1
09010122824,EL CEMENTERIO,San Juan de los Cayos,1,Acosta,1
09010122825,EL CERRITO,San Juan de los Cayos,1,Acosta,1
09010122826,EL GUAYEBO,San Juan de los Cayos,1,Acosta,1
09010122827,EL TRIGAL,San Juan de los Cayos,1,Acosta,1
09010122828,LA JUNGLA,San Juan de los Cayos,1,Acosta,1
09010122829,LA VILLA,San Juan de los Cayos,1,Acosta,1
09010122830,LAS MALVINAS,San Juan de los Cayos,1,Acosta,1
09010122831,LAS MALVINAS PUNTA DEL ESTE,San Juan de los Cayos,1,Acosta,1
09010122832,LOS BOQUERONES,San Juan de los Cayos,1,Acosta,1
09010122833,LOS TAPAROS,San Juan de los Cayos,1,Acosta,1
09010122834,MARIO MARTINEZ,San Juan de los Cayos,1,Acosta,1
09010122835,PUEBLO ARRIBA,San Juan de los Cayos,1,Acosta,1
09010122836,PUEBLO ARRIBA SAN JUAN DE LOS CAYOS,San Juan de los Cayos,1,Acosta,1
09010122837,PUNTA ARRIBA,San Juan de los Cayos,1,Acosta,1
09010122838,PUNTA DEL ESTE,San Juan de los Cayos,1,Acosta,1
09010122839,PUNTA MANATI,San Juan de los Cayos,1,Acosta,1
09010122840,RUSIA,San Juan de los Cayos,1,Acosta,1
09010122841,SAN MARTIN,San Juan de los Cayos,1,Acosta,1
09010122842,URBANISMO MI NUEVO SAN JUAN,San Juan de los Cayos,1,Acosta,1
09010222843,19 DE ABRIL,Capadare,2,Acosta,1
09010222844,AGUA BLANCA,Capadare,2,Acosta,1
09010222845,AGUA VIVA,Capadare,2,Acosta,1
09010222846,CAMACHIMA,Capadare,2,Acosta,1
09010222847,CAMACHIMA CENTRO,Capadare,2,Acosta,1
09010222848,CAMACHIMA SAN NICOLAS,Capadare,2,Acosta,1
09010222849,CAMACHIMA SAN ROQUE,Capadare,2,Acosta,1
09010222850,CAPADARE,Capadare,2,Acosta,1
09010222851,CERRO CAPADARE,Capadare,2,Acosta,1
09010222852,CIENAGA GUARABAO,Capadare,2,Acosta,1
09010222853,CUQUIRE,Capadare,2,Acosta,1
09010222854,CURAMICHATE,Capadare,2,Acosta,1
09010222855,EL CALICHAL,Capadare,2,Acosta,1
09010222856,EL CANDIL,Capadare,2,Acosta,1
09010222857,EL MANGUITO,Capadare,2,Acosta,1
09010222858,EL MILANO,Capadare,2,Acosta,1
09010222859,LA BAJURA,Capadare,2,Acosta,1
09010222860,LA CARRAPLANA,Capadare,2,Acosta,1
09010222861,LA GARITA,Capadare,2,Acosta,1
09010222862,LA LAGUNITA,Capadare,2,Acosta,1
09010222863,LA PALMA,Capadare,2,Acosta,1
09010222864,LA PALOMA,Capadare,2,Acosta,1
09010222865,LA VIVIENDA,Capadare,2,Acosta,1
09010222866,LAS VIVIENDAS,Capadare,2,Acosta,1
09010222867,MILANO,Capadare,2,Acosta,1
09010222868,QUEBRADA HONDA,Capadare,2,Acosta,1
09010222869,SAN PEDRITO,Capadare,2,Acosta,1
