title,price
"Computador Portátil LENOVO 15.6"" Pulgadas IdeaPad Slim 3 Táctil - Intel Core i5 - RAM 16GB - Disco SSD 512GB - Gris",$2.399.000
"Computador Portátil ASUS Vivobook 16"" Pulgadas X1605ZA - Intel Core i5 - RAM 16GB - Disco SSD 512 GB - Negro",$2.299.000
"Computador Portátil ACER ASPIRE 16"" Pulgadas 50BS - Intel Ci5 1235U - RAM 16GB - Disco SSD 512GB - Gris",$2.329.000
"Computador Portátil ASUS Vivobook Go 15.6"" Pulgadas E1504GA - Intel Core i3 - RAM 8GB - Disco SSD 512 GB SSD - Plateado",$1.699.000
"Computador Portátil LENOVO IdeaPad Slim 3 15.6"" Pulgadas 15IAN8 - Intel Core i3 - RAM 8GB - Disco SSD 512GB - Gris",$1.599.000
"Computador Portátil HP 14"" Pulgadas EP0027la - Intel Core i3 - RAM 8GB- Disco SSD 512 GB - Plateado",$1.649.000
"Computador Portátil ACER ASPIRE 16"" Pulgadas 38W0 Intel Core i3 - RAM 8GB - Disco SSD 512GB - Gris",$1.659.000
"Computador Portátil HP 15.6"" Pulgadas Fd0061la Intel Core i5 - RAM 12GB - Disco SSD 512 GB - Plata",$2.199.000
"Computador Portátil ACER ASPIRE 16"" Pulgadas 55EY Intel Core i5 - RAM 8GB - Disco SSD 512GB - Gris",$2.099.000
"Computador Portátil HP 14"" Pulgadas Ep1001la Intel Core Ultra 5 - RAM 8GB - Disco SSD 512 GB - Plata",$2.449.000
"Computador Portátil Gamer LENOVO LOQ 15.6"" Pulgadas 15IAX9 - Intel Core i5 - RAM 24GB - Disco SSD 512GB - Gris",$3.999.000
"Computador Portátil 2 en 1 HP Pavilion 14"" Pulgadas Ek0008la Intel Core i5 - RAM 8 GB - Disco SSD 512 GB- Negro",$2.449.000
"Computador Portátil HP 14"" Pulgadas Dq0532la Intel Celeron - RAM 4GB - Disco SSD 128 GB- Plata",$1.299.000
"Computador Portátil LENOVO IdeaPad Slim 3 15.6"" Pulgadas 15AMN8 - AMD Ryzen 5 - RAM 16GB - Disco SSD 512GB - Azul",$2.199.000
"Computador Portátil LENOVO 15,6"" Pulgadas IdeaPad Slim 3 - AMD Ryzen 5 - RAM 8GB - Disco SSD 512GB - Azul",$1.899.000
"Computador Portátil ASUS Vivobook Go OLED 15.6"" Pulgadas E1504FA - AMD Ryzen 5 - RAM 16GB - Disco SSD 512 GB - Negro",$2.449.000
"Computador Portátil Gamer ACER NITRO 15.6"" Pulgadas 5029 Intel Core i5 - RAM 16GB - Disco SSD 512GB - Negro",$3.999.000
"Computador Portátil HP 14"" Pulgadas Em0017la AMD Ryzen 5 - RAM 8GB - Disco SSD 512 GB- Azul",$1.949.000
"Computador Portátil Gamer LENOVO LOQ 15.6"" Pulgadas 15ARP9 - AMD Ryzen 7 - RAM 24GB - Disco SSD 512GB - Gris",$4.699.000
"Computador Portátil HP 14"" Pulgadas Em0021la AMD Ryzen 5 - RAM 16GB - Disco SSD 512 GB- Azul",$2.199.000
"Computador Portátil ASUS Vivobook 15.6"" Pulgadas M1502YA - AMD Ryzen 7 - RAM 16GB - Disco SSD 512 GB SSD - Plateado",$2.489.000
"Computador Portátil HP 15.6"" Pulgadas Eh3004la AMD Ryzen 7 - RAM 8GB - Disco SSD 512 GB- Azul",$2.399.000
"Computador Portátil Gamer ASUS TUF Gaming 15.6"" Pulgadas FA506NCR - AMD Ryzen 7 - RAM 8GB - Disco SSD 512 GB SSD - Negro",$3.649.000
"Computador Portátil LENOVO IdeaPad Slim 3 15.6"" Pulgadas 15AMN8 - AMD Athlon Silver - RAM 8GB - Disco SSD 512GB - Gris",$1.499.000
"Computador Portátil ACER ASPIRE GO 15.6"" Pulgadas 370J - Intel Core i3 - RAM 16GB - Disco SSD 1TB - Azul",$1.999.000
