Municipio,Población (miles),Densidad (hab/km²),Índice de Desarrollo
Acosta,56,67,89
Bolívar,97,31,43
Buchivacoa,19,98,38
Cacique Manaure,76,58,82
Carirubana,65,68,31
Colina,25,179,89
Dabajuro,87,197,73
Democracia,91,24,37
Falcón,79,199,76
Federación,79,199,64
Jacura,92,184,65
Los Taques,28,199,79
Mauroa,7,60,33
Miranda,26,117,31
Monseñor Iturriza,57,64,35
Palmasola,6,73,83
Petit,92,140,33
Piritu,34,60,83
San Francisco,42,144,92
Silva,6,30,47
Sucre,68,82,73
Tocopero,64,176,63
Unión,25,27,91
Urumaco,37,141,43
Zamora,80,98,77
